title,content,tokens
Page 222,"193 How does the TLS protocol work? of researchers in 2012. This is because DER encoding is a difficult protocol to parse correctly, and the complexity of X.509 certificates makes for many mistakes to be potentially devastating. For this reason, I don’t recommend any modern application to use X.509 certificates unless it has to. PRE-SHARED KEYS AND SESSION RESUMPTION IN TLS OR HOW TO AVOID KEY EXCHANGES Key exchanges can be costly and are some times not needed. For example, you might have two machines that only connect to each other, and you might not want to have todeal with a public key infrastructure in or der to secure their communications. TLS 1.3 offers a way to avoid this overhead with pre-shared keys (PSKs). A PSK is simply a secret that both the client and the server know, one that can be used to derive symmetrickeys for the session. In TLS 1.3, a PSK handshake works by havi ng the client advertise in its ClientHello message that it supports a list of PSK identi fiers. If the server recognizes one of the PSK IDs, it can say so in its response (t he ServerHello message), and both can then avoid doing a key exchange (if they want to). By doing this, the authentication phase is skipped, making the Fini shed message at the end of the handshake important to prevent MITM attacks. Another use case for PSKs is session resumption . Session resumption is about reusing secrets created from a previous session or connection. If you have already connected to google.com and have alre ady verified their certific ate chain, performed a key exchange, agreed on a shared secret, etc ., why do this dance again a few minutes or hours later when you revisit? TLS 1.3 offers a way to generate a PSK after a handshake is successfully performed, which can be used in subsequent connections to avoid hav- ing to redo a full handshake. If the server wants to offer this feature, it can send a New Session Ticket message at any time during the post-h andshake phase. The server can create so-called session tickets in several ways. For example, the server can se nd an identifier, associated with the rele- vant information in a database. This is not th e only way, but as this mechanism is quiteClient random and server random An avid reader might have noticed that ephemeral public keys brought randomness to the session, and without them the symmetric session keys at the end of the hand- shake might end up always being the same. Using different symmetric keys for differ- ent sessions is extremely important as you do not want these sessions to be linked. Worse, because encrypted messages might be different between sessions, this could lead to nonce reuses and their catastrophic implications (see chapter 4). To mitigate this, both the ClientHello and ServerHello messages have a random field, which is randomly generated for every new session (and often referred to as client random and server random ). As these random values are used in the derivation of symmetric keys in TLS, it effectively randomizes the session symmetric keys for each new connection. Licensed to Jieren Chen <jieren@lychee.ai>",686
Page 223,"194 CHAPTER 9Secure transport complex and most of the time not necessary, I won’t touch on more of it in this chapter. Next, let’s see the easiest pa rt of TLS—how communications eventually get encrypted. 9.2.2 How TLS 1.3 encrypts application data Once a handshake takes place and symmetric keys derived, both the client and the server can send each other encrypted application data. This is not all: TLS also ensures that such messages cannot be replay ed nor reordered! To do this, the nonce used by the authenticated encryption algori thm starts at a fixed value and is incre- mented for each new message. If a message is replayed or reordere d, the nonce will be different from what is expected and decryp tion fails. When this happens, the connec- tion is killed. Starting with TLS 1.3, if a server decides to allow it, clients have the possibility to send encrypted data as part of their first series of messages, right a fter the ClientHello mes- sage. This means that browsers do not necessarily have to wait until the end of the handshake to start sending ap plication data to the server. This mechanism is called early data or 0-RTT (for zero round trip time). It can only be used with the combina- tion of a PSK as it allows derivation of symmetric keys during the ClientHello message. NOTE This feature was quite controversial during the development of the TLS 1.3 standard because a passive atta cker can replay an observed Client- Hello followed by the encrypted 0-RTT data. This is why 0-RTT must be usedonly with application data th at can be replayed safely. For the web, browsers treat every GET query as idempotent , meaning that GET queries should not change state on th e server side and are only me ant to retrieve data (unlike POST queries, for example). This is, of co urse, not always the case, and applications have been known to do whatever they want to do. For this reason, if you are con- fronted with the decision of using 0-RTT or not, it is simpler just to not use it. 9.3 The state of the encrypted web today Today, standards are pushing for the deprec ation of all versions of SSL and TLS that are not TLS versions 1.2 and TLS 1.3. Yet, due to legacy clients and servers, many libraries and applications continue to supp ort older versions of the protocol (up to SSL version 3 sometimes!). Th is is not straightforward and, because of the number ofHiding the plaintext’s length As you learned in chapter 4, encryption d oes not always hide the length of what is being encrypted. TLS 1.3 comes with record padding that you can configure to pad application data with a random number of zero bytes before encrypting it, effectively hiding the true length of the message. In sp ite of this, statistical attacks that remove the added noise may exist, and it is not stra ightforward to mitigate them. If you really require this security property, you should refer to the TLS 1.3 specification. Licensed to Jieren Chen <jieren@lychee.ai>",687
Page 224,"195 The state of the encrypted web today vulnerabilities you need to defend agains t, many hard-to-implement mitigations must be maintained. WARNING Using TLS 1.3 (and TLS 1.2) is co nsidered secure and best prac- tice. Using any lower version means that you will need to consult experts and will have to figure out how to avoid known vulnerabilities. By default, browsers still co nnect to web servers using HTTP , and websites still have to manually ask a CA to obtain a certificate. This means that with the current protocols, the web will never be fully encrypted, although some estimates show global web trafficto be 90% encrypted as of 2019. The fact that, by default, your browser always uses an insecure connection is also an issue. Web servers nowada ys usually redirect users accessing their pages using HTTP toward HTTPS. Web servers can also (and often do) tell browsers to use HTTPS for subsequent connections. This is done via an HTTPS response header called HTTP Strict Transport Security (HSTS). Yet, the first connection to a website is still unpro- tected (unless the user thinks about typing https in the address bar) and can be inter- cepted to remove the redirection to HTTPS. In addition, other web protocols like NTP (to get the current time) and DNS (to obtain the IP behind a domain name) are currently largely unencrypted and vulnera- ble to MITM attacks. While there are research efforts to improve the status quo, these are attack vectors that on e needs to be aware of. There’s another threat to TLS users— misbehaving CAs. What if, today, a CA decides to sign a certificate for your domain and a public key that it controls? If it can obtain a MITM position, it could start impers onating your website to your users. The obvious solution, if you control the client-sid e of the connection, is to either not use the web PKI (and rely on your own PKI) or to pin a specific certificate or public key. Certificate or public key pinning are tec hniques where a server’s certificate (usu- ally rather a hash of it), or the public key, is directly hardcoded in the client code. If the server does not present the expected ce rtificate, or the certificate does not con- tain the expected long-term public key, th e client aborts the connection during the authentication phase of the handshake. This practice is often used in mobile applica- tions, as they know exactly what the server ’s public key or certificate should look like (unlike browsers that have to connect to an infinite number of servers). Hardcoding certificates and public keys is not always possible, th ough, and two other mechanisms co-exist to deal with bad certificates: Certificate revocation —As the name indicates, this allows a CA to revoke a certifi- cate and warn browsers about it. Certificate monitoring —This is a relatively new system that forces CAs to publicly log every certificate signed. The story of certificate revoca tion has historically been bu mpy. The first solution pro- posed was Certificate Revocation Lists (CRLs), which allowed CAs to maintain a list of Licensed to Jieren Chen <jieren@lychee.ai>",709
Page 225,"196 CHAPTER 9Secure transport revoked certificates, those that were no longer considered va lid. The problem with CRLs is that they can grow quite large and one needs to constantly check them. CRLs were deprecated in favor of Online Certificate Status Protocol (OCSP), which are simple web interfaces that you can query to see if a certificate is revoked or not. OCSP has its own share of problems: it requir es CAs to have a highly available service that can answer to OCSP requests, it leak s web traffic information to the CAs, and browsers often decide to igno re OCSP requests that time out (to not disrupt the user’s experience). The current soluti on is to augment OCSP with OCSP stapling : the website is in charge of querying the CA for a signed status of its certificate and attaches (sta- ples) the response to its certificate during the TLS handshake. I review the three solu- tions in figure 9.9. Certificate revocation might not seem to be a prime feature to support (especially for smaller systems compared to the World Wide Web) until a certificate gets compro- mised. Like a car seatbelt, ce rtificate revocation is a secu rity feature that is useless most of the time but can be a lifesaver in rare ca ses. This is what we in security call “defense in depth.” NOTE For the web, certificate revocation has largely proven to be a good decision. In 2014, the Heartbleed bug tu rned out to be one of the most devas- tating bugs in the history of SSL an d TLS. The most widely used SSL/TLS implementation (OpenSSL) was found to have a buffer overread bug (reading past the limit of an array), allowing an yone to send a spec ially crafted message to any OpenSSL server and receive a dum p of its memory, often revealing its long-term private keys.Figure 9.9 Certificate revocation on the web has had three popular solutions: Certificate Revocation Lists (CRLs), Online Certificate Status Protocol (OCSP), and OCSP stapling. The browser requests the list of revoked certiﬁcates from the relevant certiﬁcate authority (CA) and checks if it contains the received certiﬁcate.The browser requests the status of the received certiﬁcate from the relevant OCSP responder.The website sends a recent OCSP status along with the certiﬁcate. Licensed to Jieren Chen <jieren@lychee.ai>",553
Page 226,"197 The Noise protocol framework: A modern alternative to TLS Yet, if a CA truly misbehaves, it can decide not to revoke malicious certificates or not to report them. The problem is that we ar e blindly trusting a non-negligible number of actors (the CAs) to do the right thing. To solve this issue at scale, Certificate Transpar- ency was proposed in 2012 by Google. The idea behind a Certificate Transparency is to force CAs to add each certificate issued to a giant log of certific ates for everyone to see. To do this, browsers like Chrome now reject certificates if they do not include proofs of inclusion in a public log. This tr ansparency allows you to check if a certifi- cate was wrongly issued for a domain you ow n (there should be no other certificates other than the ones you requested in the past). Note that a Certificate Tr ansparency relies on people monitoring logs for their own domain to catch bad certificates after the fact . CAs also have to react fast and revoke mis-issued certificat es once detected. In extrem e cases, browsers sometimes remove misbehaving CAs from their trust stores. Certificat e Transparency is, thus, not as powerful as certificate or public key pinning, which mitigates CA misbehaviors. 9.4 Other secure transport protocols You’ve now learned about TLS, which is th e most popular protoc ol to encrypt com- munications. You’re not done yet, though. TL S is not the only one in the secure trans- port protocol class. Many other protocols exist, and you might most likely be using them already. Yet, most of them are TLS- like protocols, customized to support a spe- cific use case. This is the case, for example, with the following: Secure Shell (SSH) —The most widely used protocol and application to securely connect to a remote terminal on a different machine. Wi-Fi Protected Access (WPA) —The most popular protoc ol to connect devices to private network access points or to the internet. IPSec —One of the most popular virtual network protocols (VPNs) used to con- nect different private networks together. It is mostly used by companies to link different office networks. As its name in dicates, it acts at the IP layer and is often found in routers, firewalls, and other network appliances. Another popu- lar VPN is OpenVPN, which makes direct use of TLS. All of these protocols typically reimplement the handshake/post-handshake paradigm and sprinkle some of their own flavors on it. Re-inventing the wheel is not without issues, as for example, several of the Wi-Fi protocols have been broken. To finish this chapter, I want to introduce you to the Noise protocol framework . Noise is a much more modern alternative to TLS. 9.5 The Noise protocol framework: A modern alternative to TLS TLS is now quite mature and considered a so lid solution in most cases, due to the attention it gets. Yet, TLS adds a lot of over head to applications that make use of it, due to historical reasons, ba ckward compatibility constrai nts, and overall complexity. Licensed to Jieren Chen <jieren@lychee.ai>",697
Page 227,"198 CHAPTER 9Secure transport Indeed, in many scenarios where you are in control of all the endpoints, you might not need all of the features that TLS has to offer. The next best solution is called the Noise protocol framework . The Noise protocol framework removes the run-time complexity of TLS by avoid- ing all negotiation in the handshake. A cl ient and a server running Noise follow a linear protocol that does not branch. Contra st this to TLS, which can take many dif- ferent paths, depending on the information contained in the different handshakemessages. What Noise does is that it push es all the complexity to the design phase. Developers who want to use the Noise prot ocol framework must decide what ad hoc instantiation of the framework they want th eir application to use. (This is why it is called a protocol framework and not a protocol.) As such, they must first decide what cryptographic algorithms will be used, what side of the connection is authenticated, if any pre-shared key is used, and so on. Af ter that, the protocol is implemented and turns into a rigid series of messages, whic h can be a problem if one needs to update the protocol later while maintaining backward compatibility with devices that cannot be updated. 9.5.1 The many handshakes of Noise The Noise protocol framework offers different handshake patterns that you can choose from. Handshake patterns typically come with a name that indicates what is going on. For example, the IK handshake pattern indicates that th e client’s public key is sent as part of the handshake (the first I stands for immediate ), and that the server’s public key is known to the client in advance (the K stands for known ). Once a handshake pattern is chosen, applications making use of it wi ll never attempt to perform any of the other possible handshake patterns. As opposed to TLS, this makes Noise a simple and linear protocol in practice. In the rest of this section, I will use a handshake pattern called NN to explain how Noise works. It is simple enough for to explain, but insecure because of the two N’s indicating that no authentication takes plac e on both sides. In Noise’s lingo, the pat- tern is written like this: NN: -> e <- e, ee Each line represents a message pattern, an d the arrow indicates the direction of the message. Each message pattern is a succession of tokens (here, there are only two: e and ee) that dictates what both sides of the connection need to do: -> e—Means that the client must generate an ephemeral key pair and send the public key to the server. The server inte rprets this message differently: it must receive an ephemeral pub lic key and store it. <- e, ee—Means that the server must generate an ephemeral key pair and send the public key to the client, then it must do a Diffie-Hellman (DH) key exchange Licensed to Jieren Chen <jieren@lychee.ai>",645
Page 228,"199 The Noise protocol framework: A modern alternative to TLS with the client’s ephemeral (the first e) and its own ephemeral (the second e). On the other hand, the client must rece ive an ephemeral public key from the server, and use it to do a DH key exchange as well. NOTE Noise uses a combination of defined tokens in order to specify differ- ent types of handshakes. For example, the s token means a static key (another word for long-term key ) as opposed to an ephemeral key, and the token es means that both participants must perf orm a DH key exchange using the cli- ent’s ephemeral key and the server’s static key. There’s more to it: at the end of each message pattern ( -> e and <- e, ee), the sender also gets to transmit a payload. If a DH key exchange has happened previously, which is not the case in the first message pattern, -> e, the payload is encrypted and authen- ticated. At the end of the handshake both pa rticipants derive a set of symmetric keys and start encrypting communi cations similarly to TLS. 9.5.2 A handshake with Noise One particularity of Noise is that it continuously authenticates its handshake tran- script. To achieve this, both sides maintain two variables: a hash ( h) and a chaining key (ck). Each handshake message sent or received is hashed with the previous h value. I illustrate this in figure 9.10. At the end of each message pattern, a (pot entially empty) payload is encrypted with an authenticated encryption with associated data (AEAD) algorith m (covered in chap- ter 4). When this happens, the h value is authenticated by the associated data field of the AEAD. This allows Noise to continuously verify that both si des of the connection are seeing the exact sa me series of messages and in the same order. In addition, every time a DH key exchan ge happens (several can happen during a handshake), its output is fed along with the previous chaining key ( ck) to HKDF, which derives a new chaining key and a new se t of symmetric keys to use for authenti- cating and encrypting subsequent message s. I illustrate this in figure 9.11. This makes Noise a simple protocol at run time; there is no branching and both sides of the connection simply do what they need to do. Libraries implementing Noise are also extremely simple and end up be ing a few hundred lines compared to hun- dreds of thousands of lines for TLS libraries. While Noise is more complex to use andFigure 9.10 In the Noise protocol framework, each side of the connection keeps track of a digest h of all messages that have been sent and received during the handshake. When a message is sent and encrypted with an authenticated encryption with associated data (AEAD) algorithm, the current h value is used as associated data in order to authenticate the handshake up to this point. Licensed to Jieren Chen <jieren@lychee.ai>",657
Page 229,"200 CHAPTER 9Secure transport will require developers who understand how Noise works to integrate it into an appli- cation, it is a strong alternative to TLS. Summary Transport Layer Security (TLS) is a secu re transport protocol to encrypt com- munications between machines. It was pr eviously called Secure Sockets Layer (SSL) and is sometimes st ill referred to as SSL. TLS works on top of TCP and is used daily to protect connections between browsers, web servers, mobile applications, and so on. To protect sessions on top of User Datagram Protocol (UDP), TLS has a variant called Datagram Transport Layer Secu rity (DTLS) that works with UDP. TLS and most other transport security protocols have a handshake phase (in which the secure negotiation is created) and a post-handshake phase (in which communications are encrypted using ke ys derived from the first phase). To avoid delegating too much trust to the web public key infrastructure, appli- cations making use of TLS can use cert ificate and public key pinning to only allow secure communications with spec ific certificates or public keys. As a defense-in-depth measure, syste ms can implement certificate revocation (to remove compromised certificates) an d monitoring (to detect compromised certificates or CAs). In order to avoid TLS complexity and size and whether you control both sides of the connection, you can use the Noise protocol framework. To use Noise, one must decide what variant of a handshake they want to usewhen designing the protocol. Due to this , it is much simpler and secure than TLS, but less flexible.Figure 9.11 In the Noise protocol framework, each side of the connection keeps track of a chaining key , ck. This value is used to derive a new chaining key and new encryption keys to be used in the protocol every time a DH key exchange is performed. Licensed to Jieren Chen <jieren@lychee.ai>",434
Page 230,"201End-to-end encryption Chapter 9 explained transpor t security via protocols lik e TLS and Noise. At the same time, I spent quite some time explai ning where trust is rooted on the web: hundreds of certificate authorities (CAs) trusted by your browser and operating sys- tem. While not perfect, this system has worked so far for the web, which is a com-plex network of participants who know nothing of each other. This problem of finding ways to trust others (and their public keys) and making it scale is at the center of real-world cryptography. A famo us cryptographer was once heard saying, “Sy mmetric crypto is solved,” to describe a field of research that had overstayed its welcome. And, for the most part, the statement was true. We sel- dom have issues encrypting communications , and we have strong confidence in the current encryption algorithms we use. When it comes to encryption, most engineer- ing challenges are not about the algori thms themselves anymore, but about who Alice and Bob are and how to prove it.This chapter covers End-to-end encryption and its importance Different attempts at solving email encryption How end-to-end encryption is changing the landscape of messaging Licensed to Jieren Chen <jieren@lychee.ai>",290
Page 231,"202 CHAPTER 10 End-to-end encryption Cryptography does not provide one soluti on to trust but many different ones that are more or less prac tical, depending on the context. In this chapter, I will survey some of the different techniques that peop le and applications use to create trust between users. 10.1 Why end-to-end encryption? This chapter starts with a “why” instead of a “what.” This is because end-to-end encryp- tion is a concept more than a cryptographi c protocol; it’s a concept of securing com- munications between two (or mo re) participants across an adversarial path. I started this book with a simple example: Queen Alic e wanted to send a message to Lord Bob without anyone in the middle being able to see it. Nowadays, many applications like email and messaging exist to connect users, and most of them seldom encrypt mes- sages from soup to nuts. You might ask, isn’t TLS enough? In theory, it could be. You learned in chapter 9 that TLS is used in many places to secure communications. But end-to-end encryption is a concept that involves ac tual human beings. In contrast, TLS is most often used by systems that are “men-in-the-middle” by design (see figure 10.1). In these systems, TLS is only used to protect the communication s between a central server and its users, allowing the server to see everything. Effe ctively, these MITM servers sit in between users, are necessary for the ap plication to function, and are trusted third parties of the protocol. That is to say, we have to trust these parts of the system in order for the pro- tocol to be considered secure (spoiler alert: that’s no t a great protocol). In practice, much worse topologies exis t. Communications between a user and a server can go through many network hops, and some of these hops might be machines Figure 10.1 In most systems, a central server (top diagram) relays messages between users. A secure connection is usually established between a user and the central server, which can thus see all user messages. A protocol providing end-to-end encryption (bottom diagram) encrypts communications from one user up to its intended recipient, preventing any server in the middle from observing messages in cleartext. Licensed to Jieren Chen <jieren@lychee.ai>",529
Page 232,"203 A root of trust nowhere to be found that look at the traffic (often referred to as middleboxes ). Even if traffic is encrypted, some middleboxes are set up to end the TLS connection (we say that they terminate TLS) and either forward the traffic in clear from that point on or start another TLS connection with the next hop. TLS termin ation is sometimes do ne for “good” rea- sons: to better filter traffic, balance connect ions geographically or within a data cen- ter, and so on. This adds to the attack surf ace as traffic is now visible in the clear in more places. Sometime s, TLS termination is done fo r “bad” reasons: to intercept, record, and spy on traffic. In 2015, Lenovo was caught selling lapt ops with pre-installed custom CAs (covered in chapter 9) and software. The softwar e was MITM’ing HTTPS connections using Lenovo’s CAs and injecting ads into web pa ges. More concerning , large countries like China and Russia have been ca ught redirecting traffic on the internet, making it pass through their networks in order to in tercept and observe connections. In 2013, Edward Snowden leaked a massive number of docume nts from NSA showing the abuses of many governments (not just the US) in spying on pe ople’s communications by intercepting the internet cabl es that link the world together. Owning and seeing user data is also a liability for companies. As I’ve mentioned many times in this book, breaches and hacks happen way too often and can be devas- tating for the credibility of a company. From a legal standpoint, laws like the General Data Protection Regulation (GDPR) can end up costing organizations a lot of money. Government requests like the infamous Nati onal Security Letters (NSLs) that some- times prevent companies and people involved from even mentioning that they have received the letters (so-called gag orders) ca n be seen as additional cost and stress to an organization, too, unless yo u have nothing much to share. Bottom line, if you’re using a popular on line application, chances are that one or more governments already have access or have the ability to gain access to everything you wrote or uploaded there. Depending on an application’s threat model (what the application wants to protect against) or the threat model of an ap plication’s most vul- nerable users, end-to-end encryption plays a major role in ensuring confidentiality and privacy of end users. This chapter covers different techniques and protocols that have been created in order to create trust between people. In particular, you will learn about how email encryption works today and how secure messa ging is changing the landscape of end- to-end encrypted communications. 10.2 A root of trust nowhere to be found One of the simplest scenarios for end-to-end encryption is the following: Alice wants to send an encrypted file to Bob over th e internet. With all th e cryptographic algo- rithms you learned about in the first chapters of this book, you can probably think of a way to do this. For example 1Bob sends his public key to Alice. 2Alice encrypts the file with Bob’ s public key and sends it to Bob. Licensed to Jieren Chen <jieren@lychee.ai>",708
Page 233,"204 CHAPTER 10 End-to-end encryption Perhaps Alice and Bob can m eet in real life or use another secure channel they already share to exchange the public key in th e first message. If this is possibl e, we say that they have an out-of-band way of creating trust. This is not always the case, though. You can imagine me including my own public key in this book and asking you to use it to send me an encrypted message at some email address. Who says my copyeditor did not replace the public key with hers? Same for Alice: how does she figure out if the public key she received truly is Bob’s public key? It’s possible th at someone in the middle could have tampered with the first message. As you will see in this chapte r, cryptography has no real answer to this issue of trust. Instead, it provides different so lutions to help in different scenarios. The reason why there is no true solution is that we are trying to bridge reality (real human beings) with a theoreti cal cryptographic protocol. This whole business of protecting public keys from tampering is the single most difficult problem in practical public key applications . It is the ‘Achilles heel’ of public key cryptography, and a lot of software complexity is tied up in solv ing this one problem. —Zimmermann et al. (“PGP User’s Guide Volume I: Essential Topics,” 1992) Going back to our simple setup where Alice wants to send a file to Bob, and assuming that their untrusted connection is all they have, they have somewhat of an impossible trust issue at hand. Alice has no good way of knowing for sure what truly is Bob’s pub- lic key. It’s a chicken-and-egg type of scenar io. Yet, let me point out that if no mali- cious active MITM attacker replaces Bob’s public key in the first message, then the protocol is safe. Even if th e messages are being passively re corded, it is too late for an attacker to come after the fact to decrypt the second message. Of course, relying on the fact that your chances of being actively MITM’d are not too high is not the best way to undertake cr yptography. We, unfortunately, often do not have a way to avoid this. For ex ample, Google Chrome ships with a set of certificate authorities (CAs) that it chooses to trust, but how did you obtain Chrome in the first place? Perhaps you us ed the default browser of your operating system, which relies on its own set of CAs. But where did that come from? From the laptop you bought. But where did this la ptop come from? As you can quickly see, it’s “turtles all the way down.” At some po int, you will have to trust that something was done right. A threat model typically chooses to stop ad dressing issues after a specific turtle and considers that any turtle furthe r down is out-of-scope. This is why the rest of the chap- ter will assume that you have a secure way to obtain some root of trust . All systems based on cryptography work by relying on a root of trust, something that a protocol can build security on top of. A root of trust can be a secret or a public value that we start the protocol with or an out-of-band ch annel that we can use to obtain them. Licensed to Jieren Chen <jieren@lychee.ai>",748
Page 234,"205 The failure of encrypted email 10.3 The failure of encrypted email Email was created as (and is still today) an unencrypted protocol. We can only blame a time where security was second thought. Em ail encryption started to become more than just an idea after the release of a tool called Pretty Good Privacy (PGP) in 1991. At the time, the creator of PGP, Phil Zimmermann, de cided to release PGP in reaction to a bill that almost became law earlie r in the same year. The bill wo uld have allowed the US gov- ernment to obtain all voice and text comm unications from any electronic communica- tion company and manufacturer. In his 1994 essay “Why Do You Need PGP?”, Philip Zimmermann ends with “PGP empowers people to take their privacy into their own hands. There’s a growing social need for it. That’s why I wrote it.” The protocol was finally standardized in RFC 2440 as OpenPGP in 1998 and caught traction with the release of the open source implementation, GNU Privacy Guard (GPG), around the same time. Today, GPG is still the main implementation, and peo- ple interchangeably use the te rms GPG and PGP to pretty much mean the same thing. 10.3.1 PGP or GPG? And how does it work? PGP, or OpenPGP, works by simply making use of hybrid encryption (covered in chap- ter 6). The details are in RFC 4880, the last version of OpenPGP, and can be simplified to the following steps: 1The sender creates an email. At this point the email’s content is compressed before it is encrypted. 2The OpenPGP implementation generates a random symmetric key and sym-metrically encrypts the email using the symmetric key. 3The symmetric key is asymmetrically encr ypted to each recipient’s public key (using the techniques yo u learned in chapter 6). 4All of the intended recipients’ encrypte d versions of the symmetric key are con- catenated with the encrypted message. Th e email body is replaced with this blob of data and sent to all recipients. 5To decrypt an email, a recipient uses th eir private key to decrypt the symmetric key, then decrypts the content of the email using the decrypted symmetric key. Note that OpenPGP also defines how an emai l can be signed in order to authenticate the sender. To do this, the plaintext email’ s body is hashed and then signed using the sender’s private key. The signature is then added to the message before being encrypted in step 2. Finally, so that the reci pient can figure out what public key to use to verify the signature, the sender’s pub lic key is sent along the encrypted email in step 4. I illustrate the PGP flow in figure 10.2. Exercise Do you know why the email’s content is compressed before it is encrypted and not after? Licensed to Jieren Chen <jieren@lychee.ai>",666
Page 235,"206 CHAPTER 10 End-to-end encryption There’s nothing inherently wrong with this de sign at first sight. It seems to prevent MITM attackers from seeing your email’s content, although the subject and other email headers are not encrypted. NOTE It is important to note that crypto graphy cannot always hide all meta- data. In privacy-conscious applications, metadata is a big problem and can, in the worst cases, de-anonymize you! For example, in end-to-end encrypted pro-tocols, you might not be able to decrypt messages between users, but you canprobably tell what their IP addresses are, what the length of the messages they send and receive is, who they commonly talk to (their social graphs), and so on. A lot of engineering is put into hiding this type of metadata. Yet, in the details, PGP is actually qu ite bad. The OpenPGP standard and its main implementation, GPG, make use of old al gorithms, and backward compatibility pre- vents them from improving the situation. The most critical issue is that encryption is not authenticated, which means that anyone intercepting an email that hasn’t been signed might be able to tamper with the encrypted content to some degree, depend- ing on the exact encryption algorithm used. For this reason alone, I would not recom- mend anyone to use PGP today. A surprising flaw of PGP comes from the fact that the signing and encryption oper- ations are composed without care. In 2001, Don Davis pointed out that because of this naive composition of cryptographic algori thms, one can re-encrypt a signed email they received and send that to another reci pient. This effectively allows Bob to send you the email Alice sent him as if you were the intended recipient!Figure 10.2 PGP’s goal is to encrypt and sign messages. When integrated with email clients it does not care about hiding the subject or other metadata. Licensed to Jieren Chen <jieren@lychee.ai>",432
Page 236,"207 The failure of encrypted email If you’re wondering, signing the ciphertext instead of the plaintext is still flawed as one could then simply remove the signatur e that comes with the ciphertext and add their own signature instead. In effect, Bob co uld pretend that he sent you an email that was actually coming from Alice. I recapitula te these two signing issues in figure 10.3. The icing on the cake is that the algorithm does not provide forward secrecy by default. As a reminder, without forward secrecy, a co mpromise of your pr ivate key implies that all previous emails sent to you encrypted under that key can now be decrypted. Youcan still force forward secrecy by changing your PGP key, but this process is not straightforward (you can, for example, sign your new key with your older key) and most users just don’t bother. To recap, remember that PGP uses old cryptographic algorithms. PGP does not have authenticated encryption and is, thus, not secure if used without signatures. Due to bad design, receiving a signed message doesn’t necessarily mean we were the intended recipient. There is no forward secrecy by default. Exercise Can you think of an unambiguous way of signing a message?Figure 10.3 In the top diagram, Alice en crypts a message and signature over the message with Bob’s public key. Bob can re-encrypt this message to Charles, who might believe that it was intended for him to begin with. This is the PGP flow. In the bottom diagram, this time Alice encrypts a message to Charles. She also signs the encrypted message instead of the plaintext content. B ob, who intercepts the encrypted message, can replace the signature with his own, foolin g Charles into thinking that he wrote the content of the message. Licensed to Jieren Chen <jieren@lychee.ai>",410
Page 237,"208 CHAPTER 10 End-to-end encryption 10.3.2 Scaling trust between users with the web of trust So why am I really talking about PGP here? Well, there is something interesting about PGP that I haven’t talked about yet: how do you obtain and how can you trust other people’s public keys? The answer is th at in PGP, you build trust yourself! OK, what does that mean? Imagine that you install GPG and decide that you want to encrypt some messages to your friends. To start, you must firs t find a secure way to obtain your friends’ PGP public keys. Meeting them in real life is one sure way to do this. You meet, you copy their public keys on a piece of paper, and then you type those k e y s b a c k i n t o y o u r l a p t o p a t h o m e . N o w, you can send your friends signed and encrypted messages with OpenPGP. But this is tedious. Do you have to do this for every person you want to email? Of course not. Let’s take the following scenario: You have obtained Bob’s public key in real life and, thus, you trust it. You do not have Mark’s public key, but Bob does and he trusts it. Take a moment here to think about what you could be doing to trust Mark’s public key. Bob can simply sign Mark’s key, sh owing you that he trusts the association between the public key and Mark’s email. If you trust Bob, you can now trust Mark’s public key and add it to your repertoire. This is the main idea behind PGP’s concept of decentralized trust. It is called the web of trust (WOT) as figure 10.4 illustrates. You will sometimes see “key part ies” at conferences, where pe ople meet in real life and sign their respective public ke ys. But most of that is role-p laying, and, in practice, few people rely on the WOT to enlarge their PGP circle. 10.3.3 Key discovery is a real issue PGP did try another way to solve th e issue of discovering public keys— key registries . The concept is pretty simple: publish your PGP public key and associated signatures from others that attest to your identity on some public list so that people can find it. In prac-tice, this doesn’t work as anyone can publi sh a key and associated signature purportedly matching your email. In fact, some attacker s intentionally spoofed keys on key servers, although possibly more to cause havoc than to spy on emails. In some settings, we canrelax our threat model and allo w for a trusted authority to attest to identities and public keys. Think of a company managing th eir employees’ emails, for example.Figure 10.4 The web of trust (WOT) is the concept that users can transitively trust other users by relying on signatures. In this figure, we can see that Alice trusts Bob who trusts Charles. Alice can use Bob’s signature over Charles’s identity and public key to trust Charles as well. Licensed to Jieren Chen <jieren@lychee.ai>",708
